Player,Team,Position,MatchDate,MatchTime,Match,HomeAway,Result,HomeScore,AwayScore,Goals,Yellow cards,Red cards,Individual possession,Successful forward passes,Crosses in game,Crosses on restart of play,Shots,Shots on target,50/50 Ground challenges,50/50 air challenges,Tackles made,Tackles received,Dribble made,Dribble conceeded,Balls won,Balls lost,Passes towards final thirds,Fouls made,Fouls conceeded,Offsides,Passes,Successful passes,Forward passes,50/50 Ground challenges won,50/50 air challenges won,Tackles made won,Tackles received won,Successful dribble,Dribble conceeded won,Successful passes towards final thirds,Corners,Chances,Short passes (0-17m),Successful short passes (0-17m),Medium passes (17-34m),Successful medium passes (17-34m),Long passes (34+ m),Successful long passes (34+ m),Backward passes,Successful backward passes,Sideward passes,Successful sideward passes,Shots inside box,Shots outside box,Own goals,Goals on penalty,Penalties,Shots conceded,50/50 challenges,50/50 challenges won,Crosses,Throw-in,Successful crosses,Successful crosses in game,Successful crosses on restart of play,Assists,Goals on set play,Free kicks,Shots from head,Shots from right foot,Shots from left foot,Shots from foot,Shots not on restart of play,Shots on restart of play,Balls played in one touch,Goals on open play,Goals on open play on possession based attacks,Goals on open play on quick attacks,Goals on open play not on attack,Goals from inside box,Goals from outside box,Goals with head,Goals with foot,Goals with other part of body,Goals with right foot,Goals with left foot,Penalty kicks,Match played,Starter,Entire match played,Time played in real (min),Clearances,Fouls made in first third part,Fouls received in first third part,Fouls made in second third part,Fouls received in second third part,Assist to goal,2nd assist to goal,Blocks,Assist to shot,2nd assist to shot
Coutinho,Liverpool,Wide midfielder right,2014/11/08,12:45:01.000000,Liverpool v Chelsea,H,L,1,2,0,0,0,28,5,1,0,2,2,3,0,1,4,1,1,3,12,0,1,0,0,18,13,9,1,0,0,2,1,0,0,0,0,15,11,3,2,0,0,3,3,6,5,0,2,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,1,1,2,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,70.00459,2,0,0,0,0,0,0,0,1,0
Lambert Rickie,Liverpool,Centre forward left,2014/11/08,12:45:01.000000,Liverpool v Chelsea,H,L,1,2,0,0,0,4,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,4,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.0784,0,0,0,0,0,0,0,0,0,0
Sterling Raheem,Liverpool,Wide midfielder left,2014/11/08,12:45:01.000000,Liverpool v Chelsea,H,L,1,2,0,1,0,58,9,5,0,2,1,7,1,2,3,0,0,12,15,1,2,4,1,39,34,11,4,0,0,2,0,0,1,0,0,36,33,2,1,1,0,11,10,17,15,2,0,0,0,0,0,8,4,5,0,0,0,0,0,0,3,0,1,1,2,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,96.89066,1,1,2,1,2,1,0,0,1,1
Can Emre,Liverpool,Central midfielder right,2014/11/08,12:45:01.000000,Liverpool v Chelsea,H,L,1,2,1,0,0,47,7,1,0,2,1,8,0,2,3,0,3,6,9,5,0,0,0,40,36,8,3,0,1,1,0,0,5,0,1,31,27,8,8,1,1,15,15,17,14,0,2,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,2,0,2,2,0,9,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,70.36193,1,0,0,0,0,0,0,0,2,1
Moreno Alberto,Liverpool,Wide defender left,2014/11/08,12:45:01.000000,Liverpool v Chelsea,H,L,1,2,0,0,0,85,14,5,0,0,0,3,0,2,0,0,2,12,17,10,0,0,0,77,65,22,1,0,1,0,0,0,5,0,0,44,41,25,19,8,5,17,17,38,34,0,0,0,0,0,0,3,1,5,12,2,2,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,96.89066,8,0,0,0,0,0,0,0,1,1
Drogba Didier,Chelsea,Centre forward,2014/11/08,12:45:01.000000,Liverpool v Chelsea,A,W,1,2,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.416667,1,0,0,0,0,0,0,0,0,0
Fábregas Cesc,Chelsea,Central midfielder right,2014/11/08,12:45:01.000000,Liverpool v Chelsea,A,W,1,2,0,0,0,57,13,0,8,0,0,5,0,4,2,0,1,10,9,4,1,1,0,48,38,20,3,0,3,1,0,0,3,7,0,31,25,17,13,0,0,4,4,24,21,0,0,0,0,0,0,5,3,8,0,3,0,3,0,0,6,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,96.89066,4,0,0,0,1,0,1,0,1,3
Terry John,Chelsea,Central defender left,2014/11/08,12:45:01.000000,Liverpool v Chelsea,A,W,1,2,0,0,0,23,4,0,0,1,1,2,3,0,0,0,1,2,3,0,0,0,0,21,19,5,0,2,0,0,0,0,0,0,0,13,11,8,8,0,0,2,2,14,13,1,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,96.89066,6,0,0,0,0,0,0,0,0,0
Cahill Gary,Chelsea,Central defender right,2014/11/08,12:45:01.000000,Liverpool v Chelsea,A,W,1,2,1,0,0,47,16,0,0,1,1,0,2,0,0,0,0,11,10,6,0,1,0,40,35,21,0,2,0,0,0,0,2,0,1,18,18,16,15,6,2,3,3,16,16,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,13,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,96.89066,16,0,1,0,0,0,0,0,0,1
Filipe,Chelsea,Wide midfielder left,2014/11/08,12:45:01.000000,Liverpool v Chelsea,A,W,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.188283,0,0,0,0,0,0,0,0,0,0
Diego Costa,Chelsea,Centre forward,2014/11/08,12:45:01.000000,Liverpool v Chelsea,A,W,1,2,1,1,0,35,3,1,0,6,2,5,2,2,3,1,1,6,14,1,3,0,1,22,15,5,3,2,1,3,1,0,0,0,1,18,13,4,2,0,0,7,6,10,6,6,0,0,0,0,0,7,5,1,0,0,0,0,0,0,0,0,4,2,6,6,0,20,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,90.474,3,0,0,1,0,1,0,0,5,0
Hazard Eden,Chelsea,Wide midfielder left,2014/11/08,12:45:01.000000,Liverpool v Chelsea,A,W,1,2,0,0,0,55,7,1,0,5,1,7,3,1,3,3,1,7,15,3,0,4,0,33,27,10,1,0,1,3,2,0,2,0,0,28,24,4,3,1,0,5,4,18,16,4,1,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,4,1,5,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,95.70238,6,0,1,0,3,0,0,0,3,0
Azpilicueta César,Chelsea,Wide defender left,2014/11/08,12:45:01.000000,Liverpool v Chelsea,A,W,1,2,0,0,0,41,13,1,0,0,0,0,1,0,0,1,1,15,11,9,1,0,0,36,29,20,0,0,0,0,1,0,5,0,0,25,23,10,6,1,0,4,4,12,12,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,96.89066,8,0,0,1,0,0,0,0,1,2
Ivanovic Branislav,Chelsea,Wide defender right,2014/11/08,12:45:01.000000,Liverpool v Chelsea,A,W,1,2,0,1,0,54,6,1,0,0,0,2,7,1,1,2,0,14,19,3,2,0,0,40,31,12,1,4,0,0,2,0,1,0,0,23,19,16,12,1,0,11,11,17,14,0,0,0,0,0,0,9,5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,96.89066,16,0,0,0,0,0,0,0,0,0
Willian,Chelsea,Wide midfielder right,2014/11/08,12:45:01.000000,Liverpool v Chelsea,A,W,1,2,0,0,0,19,2,0,0,1,0,2,1,0,3,2,0,5,7,1,0,0,0,13,10,2,0,0,0,1,2,0,1,0,0,7,4,4,4,2,2,3,3,8,5,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42.1566,3,0,0,0,0,0,0,0,0,0
Matic,Chelsea,Central midfielder left,2014/11/08,12:45:01.000000,Liverpool v Chelsea,A,W,1,2,0,1,0,61,13,3,0,0,0,8,0,3,2,2,1,22,17,6,3,0,0,49,42,20,6,0,1,1,2,0,4,0,0,26,22,19,18,4,2,8,8,21,21,0,0,0,0,0,0,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,96.89066,11,1,0,2,0,0,0,0,0,1
Ramires,Chelsea,Wide midfielder right,2014/11/08,12:45:01.000000,Liverpool v Chelsea,A,W,1,2,0,0,0,25,5,0,0,0,0,2,0,3,3,0,0,5,3,4,2,1,0,23,22,6,0,0,1,3,0,0,4,0,0,16,15,6,6,1,1,4,4,13,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,54.73407,1,0,0,2,0,0,0,0,2,1
Courtois Thibaut,Chelsea,Goalkeeper,2014/11/08,12:45:01.000000,Liverpool v Chelsea,A,W,1,2,0,1,0,27,9,0,0,0,0,0,0,0,0,0,0,5,7,8,0,0,0,22,16,15,0,0,0,0,0,0,5,0,0,4,4,5,5,13,7,0,0,7,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,96.89066,7,0,0,0,0,0,0,0,0,0
Oscar,Chelsea,Central midfielder,2014/11/08,12:45:01.000000,Liverpool v Chelsea,A,W,1,2,0,1,0,52,7,1,0,2,0,4,3,4,1,1,4,8,14,6,1,2,0,40,30,12,1,2,3,1,0,0,5,0,0,26,21,10,7,4,2,10,9,18,14,0,2,0,0,0,0,7,3,1,1,0,0,0,0,0,1,0,2,0,2,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,96.89066,9,0,0,1,1,0,0,0,1,2
Song Alexandre,West Ham United,Central midfielder,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,H,D,0,0,0,0,0,74,15,1,0,2,0,5,1,2,1,0,1,26,15,7,1,2,0,68,55,26,3,1,1,0,0,0,5,0,0,39,32,19,17,10,6,8,8,34,32,2,0,0,0,0,0,6,4,1,0,0,0,0,0,0,1,0,1,1,2,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,4,1,0,0,2,0,0,0,3,1
Cole Carlton,West Ham United,Centre forward,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,H,D,0,0,0,0,0,5,0,1,0,0,0,0,5,0,0,0,0,1,2,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,1,1,1,0,0,0,0,0,0,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.29595,0,0,0,0,0,0,0,0,2,0
Nolan Kevin,West Ham United,Central midfielder,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,H,D,0,0,0,0,0,11,1,0,0,0,0,2,0,0,1,0,0,3,1,0,2,0,0,8,7,1,0,0,0,0,0,0,0,0,0,5,4,3,3,0,0,2,2,5,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28.9996,3,0,0,1,0,0,0,0,0,1
Downing Stewart,West Ham United,Centre forward,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,H,D,0,0,0,0,0,59,5,8,7,5,1,2,0,1,2,1,0,2,17,7,1,1,0,34,27,10,0,0,0,2,1,0,6,8,0,22,16,8,7,4,4,12,11,12,11,3,2,0,0,0,0,2,0,15,1,5,3,2,0,0,0,0,1,4,5,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,1,0,0,1,1,0,0,0,6,1
Noble Mark,West Ham United,Wide midfielder left,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,H,D,0,0,0,0,0,73,15,0,4,2,0,4,1,2,1,0,0,8,15,9,1,0,1,63,52,22,3,1,2,1,0,0,6,5,0,40,34,20,17,3,1,11,11,30,26,1,1,0,0,0,0,5,4,4,0,1,0,1,0,0,2,1,1,0,1,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,92.4198,6,0,0,1,0,0,0,0,2,0
Collins James,West Ham United,Central defender right,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,H,D,0,0,0,0,0,57,10,0,0,1,1,5,11,1,0,0,1,17,19,12,1,0,0,44,33,21,4,8,0,0,0,0,4,0,0,16,14,16,15,12,4,2,2,21,21,1,0,0,0,0,0,16,12,0,0,0,0,0,0,0,3,1,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,24,0,0,1,0,0,0,0,1,1
Carroll Andrew,West Ham United,Centre forward right,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,H,D,0,0,0,0,0,5,0,0,0,2,2,0,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5602,0,0,0,0,0,0,0,0,0,1
Reid Winston,West Ham United,Central defender left,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,H,D,0,0,0,0,0,58,14,0,0,1,0,3,2,0,0,0,0,24,12,3,1,1,0,45,40,19,1,2,0,0,0,0,1,0,0,21,19,22,20,2,1,3,3,23,23,1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,17,0,0,1,1,0,0,0,0,1
Kouyaté Cheikhou,West Ham United,Wide midfielder right,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,H,D,0,0,0,0,0,28,3,0,0,0,0,4,7,0,2,0,0,7,7,2,0,0,0,25,20,5,2,4,0,1,0,0,1,0,0,17,14,8,6,0,0,5,5,15,12,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,66.9804,3,0,0,0,0,0,0,0,0,1
Jenkinson Carl,West Ham United,Wide defender right,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,H,D,0,0,0,0,0,77,5,10,0,1,1,2,3,0,1,0,0,12,14,6,0,1,0,56,48,10,0,2,0,1,0,0,2,0,0,28,26,24,21,4,1,18,18,28,25,1,0,0,0,0,0,5,2,10,16,1,1,0,0,0,0,1,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,8,0,1,0,0,0,0,0,1,2
Adrián,West Ham United,Goalkeeper,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,H,D,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,7,10,6,0,0,0,23,13,17,0,0,0,0,0,0,2,0,0,2,2,4,4,17,7,0,0,6,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,1,0,0,0,0,0,0,0,0,1
Sakho Diafra,West Ham United,Centre forward right,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,H,D,0,0,0,0,0,32,1,4,0,4,0,6,8,0,2,0,0,7,15,2,1,2,2,13,8,5,1,3,0,2,0,0,1,0,0,8,5,5,3,0,0,3,3,5,4,3,1,0,0,0,0,14,4,4,0,1,1,0,0,0,0,3,1,0,1,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,4,0,0,1,1,0,0,0,1,0
Cresswell Aaron,West Ham United,Wide defender left,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,H,D,0,0,0,0,0,67,15,8,0,0,0,3,2,2,0,0,0,9,11,7,0,1,1,54,47,21,0,2,0,0,0,0,5,0,0,30,29,19,16,5,2,12,11,21,21,0,0,0,0,0,0,5,2,8,10,3,3,0,0,0,2,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,9,0,0,0,0,0,0,0,3,4
Valencia Enner,West Ham United,Centre forward left,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,H,D,0,0,0,0,0,30,2,2,1,3,0,4,3,0,4,0,1,2,12,3,0,1,1,18,12,5,1,3,0,3,0,0,2,0,0,12,8,6,4,0,0,4,3,9,7,1,2,0,0,0,0,7,4,3,1,0,0,0,0,0,2,0,3,0,3,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,75.68405,4,0,0,0,1,0,0,0,0,1
Senderos Philippe,Aston Villa,Central defender left,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,A,D,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.525967,1,0,0,0,0,0,0,0,0,0
N'Zogbia Charles,Aston Villa,Centre forward right,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,A,D,0,0,0,0,0,42,1,0,0,2,0,7,2,0,4,0,0,3,18,3,3,0,0,29,20,4,4,0,0,3,0,0,1,0,0,24,18,5,2,0,0,5,5,20,14,0,2,0,0,0,0,9,4,0,0,0,0,0,0,0,1,0,0,2,2,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,92.77032,3,1,0,1,0,0,0,0,1,1
Agbonlahor Gabriel,Aston Villa,Centre forward,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,A,D,0,0,0,1,0,33,0,1,0,5,0,5,10,0,0,1,0,5,13,4,2,4,1,22,14,4,3,2,0,0,1,0,1,0,0,18,12,4,2,0,0,6,6,12,8,4,1,0,0,0,0,15,5,1,0,0,0,0,0,0,0,1,3,1,4,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,2,0,1,2,2,0,0,0,1,0
Guzan Brad,Aston Villa,Goalkeeper,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,A,D,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0,12,18,6,0,0,0,36,14,27,0,0,0,0,0,0,0,0,0,1,1,7,7,27,6,0,0,8,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,5,0,0,0,0,0,0,0,0,0
Carlos Sánchez,Aston Villa,Central midfielder,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,A,D,0,0,0,0,0,45,7,2,0,1,1,7,6,4,2,0,0,14,16,6,0,0,0,37,25,16,3,2,1,1,0,0,3,0,0,27,18,9,7,1,0,5,5,16,13,0,1,0,0,0,0,13,5,2,0,1,1,0,0,0,0,0,0,1,1,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,13,0,0,0,0,0,0,0,1,1
Cissokho Aly,Aston Villa,Wide defender left,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,A,D,0,0,0,0,0,46,12,3,0,0,0,4,7,3,0,0,0,11,15,6,0,0,0,38,29,16,3,4,0,0,0,0,4,0,0,26,23,11,6,1,0,6,6,16,11,0,0,0,0,0,0,11,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,21,0,0,0,0,0,0,0,1,0
Vlaar Ron,Aston Villa,Central defender right,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,A,D,0,0,0,0,0,36,9,0,0,1,1,2,5,1,0,1,0,15,12,4,0,0,0,27,22,13,1,3,0,0,1,0,2,0,0,12,12,11,8,4,2,3,3,11,10,0,1,0,0,0,0,7,4,0,0,0,0,0,0,0,2,0,1,0,1,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,13,0,0,0,0,0,0,0,0,1
Westwood Ashley,Aston Villa,Wide midfielder right,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,A,D,0,0,0,0,0,59,14,1,2,1,0,2,0,2,0,0,0,20,17,8,1,2,0,51,37,26,2,0,1,0,0,0,5,2,0,26,21,21,15,4,1,4,4,21,19,0,1,0,0,0,0,2,2,3,0,0,0,0,0,0,2,0,1,0,1,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,6,1,0,0,2,0,0,0,3,2
Baker Nathan,Aston Villa,Central defender left,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,A,D,0,0,0,0,0,25,4,0,0,0,0,4,8,0,0,0,0,10,7,1,0,1,0,17,16,5,3,5,0,0,0,0,0,0,0,9,9,7,7,1,0,2,2,10,10,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,88.45403,21,0,1,0,0,0,0,0,0,0
Clark Ciaran,Aston Villa,Central defender right,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,A,D,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.209683,1,0,0,0,0,0,0,0,0,0
Weimann Andreas,Aston Villa,Centre forward left,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,A,D,0,0,0,1,0,27,5,0,0,2,2,2,2,0,0,0,0,5,6,4,0,1,0,22,19,7,2,0,0,0,0,0,2,0,0,15,13,6,5,1,1,7,7,8,7,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,1,2,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,1,0,0,0,1,0,0,0,1,0
Cleverley Tom,Aston Villa,Wide midfielder left,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,A,D,0,0,0,1,0,42,8,0,0,1,0,2,3,2,1,1,0,11,9,0,2,1,0,38,32,11,0,1,1,0,1,0,0,0,0,34,30,4,2,0,0,4,4,23,20,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,6,0,0,2,1,0,0,0,0,1
Lowton Matthew,Aston Villa,Wide defender right,2014/11/08,15:00:05.000000,West Ham United v Aston Villa,A,D,0,0,0,0,0,54,13,1,0,0,0,4,1,2,1,0,1,15,19,6,2,0,0,44,32,24,4,0,1,1,0,0,1,0,0,29,24,11,8,4,0,7,6,13,13,0,0,0,0,0,0,5,4,1,8,1,1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.98,15,1,0,1,0,0,0,0,3,0
Davis Steven,Southampton,Central midfielder left,2014/11/08,15:00:17.000000,Southampton v Leicester City,H,W,2,0,0,0,0,38,8,1,0,0,0,4,1,1,1,1,0,4,7,1,0,0,0,34,29,11,0,0,1,0,1,0,1,1,0,25,21,9,8,0,0,9,8,14,13,0,0,0,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,39.3,0,0,0,0,0,0,0,0,1,1
Long Shane,Southampton,Centre forward,2014/11/08,15:00:17.000000,Southampton v Leicester City,H,W,2,0,2,0,0,13,0,2,0,3,2,1,1,1,0,0,0,0,6,2,0,1,1,7,3,4,0,0,1,0,0,0,0,0,2,7,3,0,0,0,0,3,3,0,0,3,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,2,1,3,3,0,3,2,1,1,0,2,0,0,2,0,1,1,0,1,0,0,25.34297,1,0,0,0,0,0,0,0,0,1
Schneiderlin Morgan,Southampton,Central midfielder right,2014/11/08,15:00:17.000000,Southampton v Leicester City,H,W,2,0,0,1,0,76,15,2,3,1,0,3,3,1,2,0,2,8,6,6,2,1,0,68,65,18,3,0,1,0,0,0,6,4,0,39,38,20,19,9,8,6,6,44,44,1,0,0,0,0,0,6,3,5,0,0,0,0,0,0,3,0,1,0,1,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,93.94607,4,0,0,2,1,0,0,0,1,2
Forster Fraser,Southampton,Goalkeeper,2014/11/08,15:00:17.000000,Southampton v Leicester City,H,W,2,0,0,0,0,27,7,0,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,23,17,13,0,0,0,0,0,0,1,0,0,2,2,9,9,12,6,0,0,10,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.07767,6,0,0,0,0,0,0,0,0,0
José Fonte,Southampton,Central defender right,2014/11/08,15:00:17.000000,Southampton v Leicester City,H,W,2,0,0,0,0,75,21,1,0,1,0,3,2,0,0,0,1,24,11,4,0,0,0,62,59,23,1,1,0,0,0,0,3,0,0,28,27,27,27,7,5,4,4,35,34,1,0,0,0,0,0,5,2,1,0,0,0,0,0,0,3,1,0,0,0,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.07767,12,0,0,0,0,0,0,0,1,0
Cork Jack,Southampton,Central midfielder,2014/11/08,15:00:17.000000,Southampton v Leicester City,H,W,2,0,0,0,0,37,7,1,0,1,0,1,0,1,0,1,0,4,6,5,2,1,0,33,28,9,1,0,1,0,1,0,4,0,0,23,19,8,7,2,2,7,6,17,15,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55.77767,3,0,0,2,1,0,1,0,0,1
Tadic Dusan,Southampton,Centre forward right,2014/11/08,15:00:17.000000,Southampton v Leicester City,H,W,2,0,0,0,0,71,3,10,5,1,0,5,3,1,0,0,0,5,17,5,1,0,1,50,37,7,1,0,1,0,0,0,2,8,0,41,30,8,7,1,0,15,14,28,20,1,0,0,0,0,0,8,1,15,0,7,5,2,0,0,1,0,0,1,1,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.07767,5,0,0,0,0,0,0,0,8,1
Clyne Nathaniel,Southampton,Wide defender right,2014/11/08,15:00:17.000000,Southampton v Leicester City,H,W,2,0,0,0,0,91,11,3,0,2,2,4,1,0,0,0,0,13,21,8,2,1,0,75,60,22,3,0,0,0,0,0,2,0,0,50,44,21,15,4,1,9,8,44,41,0,2,0,0,0,0,5,3,3,11,0,0,0,0,0,0,0,2,0,2,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,95.07767,12,1,1,1,0,0,0,0,1,1
