Player,Team,Position,MatchDate,MatchTime,Match,HomeAway,Result,HomeScore,AwayScore,Goals,Yellow cards,Red cards,Individual possession,Successful forward passes,Crosses in game,Crosses on restart of play,Shots,Shots on target,50/50 Ground challenges,50/50 air challenges,Tackles made,Tackles received,Dribble made,Dribble conceeded,Balls won,Balls lost,Passes towards final thirds,Fouls made,Fouls conceeded,Offsides,Passes,Successful passes,Forward passes,50/50 Ground challenges won,50/50 air challenges won,Tackles made won,Tackles received won,Successful dribble,Dribble conceeded won,Successful passes towards final thirds,Corners,Chances,Short passes (0-17m),Successful short passes (0-17m),Medium passes (17-34m),Successful medium passes (17-34m),Long passes (34+ m),Successful long passes (34+ m),Backward passes,Successful backward passes,Sideward passes,Successful sideward passes,Shots inside box,Shots outside box,Own goals,Goals on penalty,Penalties,Shots conceded,50/50 challenges,50/50 challenges won,Crosses,Throw-in,Successful crosses,Successful crosses in game,Successful crosses on restart of play,Assists,Goals on set play,Free kicks,Shots from head,Shots from right foot,Shots from left foot,Shots from foot,Shots not on restart of play,Shots on restart of play,Balls played in one touch,Goals on open play,Goals on open play on possession based attacks,Goals on open play on quick attacks,Goals on open play not on attack,Goals from inside box,Goals from outside box,Goals with head,Goals with foot,Goals with other part of body,Goals with right foot,Goals with left foot,Penalty kicks,Match played,Starter,Entire match played,Time played in real (min),Clearances,Fouls made in first third part,Fouls received in first third part,Fouls made in second third part,Fouls received in second third part,Assist to goal,2nd assist to goal,Blocks,Assist to shot,2nd assist to shot
Ander Herrera,Manchester United,Holding central midfielder left,2014/08/16,12:45:37.000000,Manchester United v Swansea City,H,L,1,2,0,0,0,47,9,0,0,0,0,4,2,1,2,0,1,7,5,7,2,4,0,42,37,12,1,1,1,0,0,0,5,0,0,29,27,11,9,2,1,6,6,24,22,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,69.00467,2,0,0,2,2,0,0,0,0,2
Blackett Tyler,Manchester United,Central defender right,2014/08/16,12:45:37.000000,Manchester United v Swansea City,H,L,1,2,0,1,0,93,30,0,0,0,0,1,6,1,0,0,0,10,8,12,1,0,0,91,83,37,1,4,1,0,0,0,9,0,0,41,39,31,30,19,14,2,2,52,51,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,98.69833,6,0,0,1,0,0,0,0,0,0
Lingard Jesse,Manchester United,Wide midfielder right,2014/08/16,12:45:37.000000,Manchester United v Swansea City,H,L,1,2,0,0,0,24,3,3,0,0,0,3,0,0,1,1,0,4,7,0,1,1,0,18,15,3,1,0,0,0,0,0,0,0,0,16,13,2,2,0,0,6,6,9,6,0,0,0,0,0,0,3,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,23.4924,3,1,0,0,0,0,0,0,0,1
Januzaj Adnan,Manchester United,Wide midfielder right,2014/08/16,12:45:37.000000,Manchester United v Swansea City,H,L,1,2,0,0,0,39,3,4,0,3,0,2,0,3,0,1,0,6,15,2,3,4,0,18,15,4,1,0,3,0,0,0,2,0,0,13,11,4,3,1,1,2,2,12,10,2,1,0,0,0,0,2,1,4,3,0,0,0,0,0,0,0,0,3,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75.20593,0,0,0,0,1,0,0,0,0,0
Gomis Bafétimbi,Swansea City,Centre forward right,2014/08/16,12:45:37.000000,Manchester United v Swansea City,A,W,1,2,0,0,0,7,1,0,0,1,0,0,4,0,0,0,0,0,2,1,0,1,1,3,3,1,0,3,0,0,0,0,1,0,0,2,2,1,1,0,0,1,1,1,1,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.04858,3,0,0,0,1,0,0,0,0,0
Routledge Wayne,Swansea City,Wide midfielder left,2014/08/16,12:45:37.000000,Manchester United v Swansea City,A,W,1,2,0,0,0,33,3,1,0,0,0,0,1,2,3,2,1,8,10,1,4,1,0,24,19,3,0,0,2,0,0,0,0,0,0,16,13,8,6,0,0,12,10,9,6,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,98.69833,2,3,0,0,1,1,0,0,2,0
Fabianski Lukasz,Swansea City,Goalkeeper,2014/08/16,12:45:37.000000,Manchester United v Swansea City,A,W,1,2,0,0,0,36,14,0,0,0,0,1,0,0,0,0,0,15,14,4,0,0,0,36,21,28,1,0,0,0,0,0,0,0,0,5,5,8,8,23,8,0,0,7,7,0,0,0,0,0,14,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,98.69833,2,0,0,0,0,0,0,0,0,0
Dyer Nathan,Swansea City,Wide midfielder right,2014/08/16,12:45:37.000000,Manchester United v Swansea City,A,W,1,2,0,1,0,15,0,1,0,0,0,1,0,0,0,1,0,3,5,1,1,1,0,12,7,2,0,0,0,0,1,0,0,0,0,11,6,1,1,0,0,4,4,6,3,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,68.97117,1,1,1,0,0,0,1,0,0,2
Tiendalli Dwight,Swansea City,Wide defender left,2014/08/16,12:45:37.000000,Manchester United v Swansea City,A,W,1,2,0,0,0,23,6,0,0,0,0,2,1,0,1,0,1,5,3,0,1,1,0,22,19,8,1,0,0,0,0,0,0,0,0,17,16,4,2,1,1,2,2,12,11,0,0,0,0,0,0,3,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42.76067,1,0,1,1,0,0,0,0,0,0
Sigurdsson Gylfi Thor,Swansea City,Central midfielder,2014/08/16,12:45:37.000000,Manchester United v Swansea City,A,W,1,2,1,0,0,29,3,0,0,2,2,1,1,1,2,0,0,5,9,1,2,2,0,21,15,6,1,0,1,0,0,0,0,0,1,15,11,6,4,0,0,3,3,12,9,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,1,1,2,2,0,14,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,98.69833,7,1,0,1,2,1,0,0,1,0
